area,age,m_death_rate,f_death_rate,m_employment_rate,f_employment_rate
1,16,0.00046,0.00023,0.869668997,0.890278582
1,17,0.00052,0.00025,0.889972215,0.91138164
1,18,0.00055,0.00026,0.894177968,0.910977924
1,19,0.00059,0.00025,0.898964543,0.912117912
1,20,0.00065,0.00028,0.905084372,0.910732281
1,21,0.00066,0.00028,0.90417404,0.905271657
1,22,0.00069,0.0003,0.905675348,0.900852684
1,23,0.00075,0.00033,0.917332951,0.908431757
1,24,0.00079,0.00034,0.930358495,0.919616499
1,25,0.00082,0.00035,0.94175251,0.929010611
1,26,0.0008,0.00035,0.950758432,0.93705367
1,27,0.00081,0.00037,0.956134621,0.942294733
1,28,0.00086,0.00036,0.960700344,0.946517289
1,29,0.00094,0.00041,0.965121836,0.94985315
1,30,0.00095,0.00044,0.967195011,0.951531051
1,31,0.00105,0.00048,0.968877622,0.952773901
1,32,0.00111,0.00049,0.96956882,0.952810612
1,33,0.00115,0.0005,0.969426171,0.95187775
1,34,0.00128,0.0006,0.970633868,0.952341624
1,35,0.00142,0.00062,0.969431236,0.951620733
1,36,0.00145,0.00066,0.969371797,0.951648723
1,37,0.00155,0.0007,0.968878761,0.951186125
1,38,0.00164,0.00075,0.968607485,0.950931121
1,39,0.00184,0.00082,0.968099884,0.950996548
1,40,0.00204,0.00096,0.9676927,0.951358398
1,41,0.0021,0.00098,0.967514616,0.951390118
1,42,0.00247,0.00115,0.967590985,0.952106883
1,43,0.00257,0.00118,0.968632196,0.952650947
1,44,0.00277,0.00132,0.968059975,0.951921779
1,45,0.0031,0.00149,0.965816517,0.95161667
1,46,0.00318,0.00151,0.963299324,0.950070511
1,47,0.00339,0.00164,0.961359557,0.948047495
1,48,0.00419,0.00201,0.961630652,0.949057932
1,49,0.00442,0.00213,0.956242228,0.947476926
1,50,0.0048,0.00241,0.956240079,0.957571765
1,51,0.00492,0.00252,0.955823337,0.962426305
1,52,0.00523,0.00264,0.955795573,0.964406369
1,53,0.0058,0.00297,0.955947199,0.966673205
1,54,0.00651,0.00341,0.956484569,0.968947273
1,55,0.00676,0.00354,0.95905565,0.967480128
1,56,0.00736,0.00388,0.959980261,0.970421244
1,57,0.00792,0.00423,0.960564026,0.972166008
1,58,0.00886,0.00473,0.962972206,0.972565944
1,59,0.00989,0.0054,0.965188312,0.975100844
1,60,0.01087,0.00608,0.974276904,0.975101114
1,61,0.01196,0.0067,0.977798165,0.977904908
1,62,0.0131,0.00755,0.978306641,0.979218416
1,63,0.01399,0.00816,0.978374565,0.978137046
1,64,0.01634,0.00964,0.979587824,0.978239176
1,65,0.01766,0.01067,0.980399983,0.977763809
1,66,0.0183,0.01107,0.98159346,0.97877582
1,67,0.02128,0.01307,0.981681456,0.975320361
1,68,0.02302,0.0142,0.98128651,0.974571698
1,69,0.02689,0.01682,0.983103976,0.976540725
1,70,0.03128,0.01983,0.982614295,0.975176249
1,71,0.03229,0.02115,0.982848776,0.966779362
1,72,0.0373,0.02456,0.983577918,0.97005633
1,73,0.04047,0.0269,0.979995061,0.96741941
1,74,0.04535,0.03004,0.978764284,0.970072849
1,75,0.05049,0.03331,0.971185167,0.950954963
1,76,0.05054,0.03451,0.971185167,0.950954963
1,77,0.06101,0.04199,0.971185167,0.950954963
1,78,0.06693,0.04672,0.971185167,0.950954963
1,79,0.0732,0.05247,0.971185167,0.950954963
1,80,0.08727,0.0634,0.971185167,0.950954963
1,81,0.09117,0.06725,0.971185167,0.950954963
1,82,0.0997,0.07493,0.971185167,0.950954963
1,83,0.10836,0.08229,0.971185167,0.950954963
1,84,0.12034,0.09166,0.971185167,0.950954963
1,85,0.12919,0.09858,0.971185167,0.950954963
1,86,0.13855,0.10623,0.971185167,0.950954963
1,87,0.14946,0.11793,0.971185167,0.950954963
1,88,0.16394,0.13222,0.971185167,0.950954963
1,89,0.18052,0.14339,0.971185167,0.950954963
1,90,0.20226,0.16255,0.971185167,0.950954963
1,91,0.20656,0.17437,0.971185167,0.950954963
1,92,0.22386,0.19152,0.971185167,0.950954963
1,93,0.2227,0.20013,0.971185167,0.950954963
1,94,0.22191,0.20299,0.971185167,0.950954963
1,95,0.22536,0.21755,0.971185167,0.950954963
1,96,0.221,0.22099,0.971185167,0.950954963
1,97,0.18773,0.21319,0.971185167,0.950954963
1,98,0.17942,0.20734,0.971185167,0.950954963
1,99,0.25511,0.25877,0.971185167,0.950954963
1,100,0.50728,0.43634,0.971185167,0.950954963
